providerName,providerPassword,providerCategory,providerImage
Bazooka,123,Food,/images/food/bazooka.jpg
El Abd,123,Food,/images/food/el-abd.jpg
Karam El Sham,123,Food,/images/food/karam-elsham.jpg
Friends,123,Food,/images/food/friends.jpg
Rosto,123,Food,/images/food/rosto.jpg
My Corner,123,Food,/images/food/my-corner.jpg
Buffalo Burger,123,Food,/images/food/buffalo_burger.jpg
Pottery Cafe,123,Food,/images/food/potery-cafe.png
Lampatronics,123,Electronics,/images/electronics/lampatronics.png
B Tech,123,Electronics,/images/electronics/btech.jpg
Circuits Electronics,123,Electronics,/images/electronics/circuits-electronics.jpg
Future Electronics,123,Electronics,/images/electronics/future-electronics.jpg
Elezaby,123,Pharmacy,/images/Pharmacy/elezaby.jpg
Samir & Aly,123,Stationary,/images/stationary/samir_aly.jpg
